Results,Item 1,Item 2
Fruity Cake,Pink Apple,Cake Mix
Fruity Cake,Honey Shroom,Primordial Fruit
Fruity Cake,Honey Super,Primordial Fruit
Fruity Cake,Shroom Broth,Primordial Fruit
Fruity Cake,Awesome Snack,Keel Mango
Fruity Cake,Awesome Snack,Blue Apple
Fruity Cake,Awesome Snack,Yellow Apple
Fruity Cake,Awesome Snack,Red Apple
Fruity Cake,Awesome Snack,Pink Apple
Fruity Cake,Awesome Snack,Primordial Fruit
Fruity Cake,Koopa Dumpling,Keel Mango
Fruity Cake,Koopa Dumpling,Blue Apple
Fruity Cake,Koopa Dumpling,Yellow Apple
Fruity Cake,Koopa Dumpling,Red Apple
Fruity Cake,Koopa Dumpling,Pink Apple
Fruity Cake,Koopa Dumpling,Primordial Fruit
Fruity Cake,Mushroom Crepe,Peachy Peach
Fruity Cake,Mushroom Crepe,Keel Mango
Fruity Cake,Mushroom Crepe,Blue Apple
Fruity Cake,Mushroom Crepe,Yellow Apple
Fruity Cake,Mushroom Crepe,Red Apple
Fruity Cake,Mushroom Crepe,Pink Apple
Fruity Cake,Mushroom Crepe,Primordial Fruit
Fruity Cake,Shroom Cake,Peachy Peach
Fruity Cake,Shroom Cake,Keel Mango
Fruity Cake,Shroom Cake,Blue Apple
Fruity Cake,Shroom Cake,Yellow Apple
Fruity Cake,Shroom Cake,Red Apple
Fruity Cake,Shroom Cake,Pink Apple
Fruity Cake,Shroom Cake,Primordial Fruit
Fruity Cake,Chocolate Cake,Peachy Peach
Fruity Cake,Chocolate Cake,Keel Mango
Fruity Cake,Chocolate Cake,Blue Apple
Fruity Cake,Chocolate Cake,Yellow Apple
Fruity Cake,Chocolate Cake,Red Apple
Fruity Cake,Chocolate Cake,Pink Apple
Fruity Cake,Chocolate Cake,Primordial Fruit
Fruity Cake,Mousse,Peachy Peach
Fruity Cake,Mousse,Keel Mango
Fruity Cake,Mousse,Blue Apple
Fruity Cake,Mousse,Yellow Apple
Fruity Cake,Mousse,Red Apple
Fruity Cake,Mousse,Pink Apple
Fruity Cake,Mousse,Primordial Fruit
Fruity Cake,Heartful Cake,Peachy Peach
Fruity Cake,Heartful Cake,Keel Mango
Fruity Cake,Heartful Cake,Blue Apple
Fruity Cake,Heartful Cake,Yellow Apple
Fruity Cake,Heartful Cake,Red Apple
Fruity Cake,Heartful Cake,Pink Apple
Fruity Cake,Heartful Cake,Primordial Fruit
Fruity Cake,Peach Tart,Peachy Peach
Fruity Cake,Peach Tart,Keel Mango
Fruity Cake,Peach Tart,Blue Apple
Fruity Cake,Peach Tart,Yellow Apple
Fruity Cake,Peach Tart,Red Apple
Fruity Cake,Peach Tart,Pink Apple
Fruity Cake,Peach Tart,Primordial Fruit
Fruity Cake,Horsetail Tart,Peachy Peach
Fruity Cake,Horsetail Tart,Keel Mango
Fruity Cake,Horsetail Tart,Blue Apple
Fruity Cake,Horsetail Tart,Yellow Apple
Fruity Cake,Horsetail Tart,Red Apple
Fruity Cake,Horsetail Tart,Pink Apple
Fruity Cake,Horsetail Tart,Primordial Fruit
Fruity Hamburger,Peachy Peach,Power Steak
Fruity Hamburger,Peachy Peach,Bone-In Cut
Fruity Hamburger,Keel Mango,Power Steak
Fruity Hamburger,Keel Mango,Bone-In Cut
Fruity Hamburger,Blue Apple,Power Steak
Fruity Hamburger,Blue Apple,Bone-In Cut
Fruity Hamburger,Yellow Apple,Power Steak
Fruity Hamburger,Yellow Apple,Bone-In Cut
Fruity Hamburger,Red Apple,Power Steak
Fruity Hamburger,Red Apple,Bone-In Cut
Fruity Hamburger,Pink Apple,Power Steak
Fruity Hamburger,Pink Apple,Bone-In Cut
Fruity Hamburger,Hamburger,Peachy Peach
Fruity Hamburger,Hamburger,Keel Mango
Fruity Hamburger,Hamburger,Blue Apple
Fruity Hamburger,Hamburger,Yellow Apple
Fruity Hamburger,Hamburger,Red Apple
Fruity Hamburger,Hamburger,Pink Apple
Fruity Hamburger,Hamburger,Primordial Fruit
Fruity Hamburger,Hamburger,Fruity Punch
Fruity Hamburger,Gorgeous Steak,Primordial Fruit
Fruity Hamburger,Hot Dog,Primordial Fruit
Fruity Hamburger,Spit Roast,Primordial Fruit
Fruity Punch,Keel Mango,Peachy Peach
Fruity Punch,Blue Apple,Mighty Tonic
Fruity Punch,Blue Apple,Peachy Peach
Fruity Punch,Blue Apple,Keel Mango
Fruity Punch,Yellow Apple,Mighty Tonic
Fruity Punch,Yellow Apple,Peachy Peach
Fruity Punch,Yellow Apple,Keel Mango
Fruity Punch,Yellow Apple,Blue Apple
Fruity Punch,Red Apple,Mighty Tonic
Fruity Punch,Red Apple,Peachy Peach
Fruity Punch,Red Apple,Keel Mango
Fruity Punch,Red Apple,Blue Apple
Fruity Punch,Red Apple,Yellow Apple
Fruity Punch,Pink Apple,Mighty Tonic
Fruity Punch,Pink Apple,Peachy Peach
Fruity Punch,Pink Apple,Keel Mango
Fruity Punch,Pink Apple,Blue Apple
Fruity Punch,Pink Apple,Yellow Apple
Fruity Punch,Pink Apple,Red Apple
Fruity Punch,Primordial Fruit,Mighty Tonic
Fruity Punch,Primordial Fruit,Peachy Peach
Fruity Punch,Primordial Fruit,Keel Mango
Fruity Punch,Primordial Fruit,Blue Apple
Fruity Punch,Primordial Fruit,Yellow Apple
Fruity Punch,Primordial Fruit,Red Apple
Fruity Punch,Primordial Fruit,Pink Apple
Fruity Punch,Whacka Bump,Peachy Peach
Fruity Punch,Whacka Bump,Keel Mango
Fruity Punch,Whacka Bump,Blue Apple
Fruity Punch,Whacka Bump,Yellow Apple
Fruity Punch,Whacka Bump,Red Apple
Fruity Punch,Whacka Bump,Pink Apple
Fruity Punch,Fruit Parfait,Peachy Peach
Fruity Punch,Fruit Parfait,Keel Mango
Fruity Punch,Fruit Parfait,Blue Apple
Fruity Punch,Fruit Parfait,Yellow Apple
Fruity Punch,Fruit Parfait,Red Apple
Fruity Punch,Fruit Parfait,Pink Apple
Fruity Punch,Fruit Parfait,Primordial Fruit
Fruity Punch,Peach Juice,Peachy Peach
Fruity Punch,Peach Juice,Keel Mango
Fruity Punch,Peach Juice,Blue Apple
Fruity Punch,Peach Juice,Yellow Apple
Fruity Punch,Peach Juice,Red Apple
Fruity Punch,Peach Juice,Pink Apple
Fruity Punch,Peach Juice,Primordial Fruit
Fruity Punch,Mango Juice,Peachy Peach
Fruity Punch,Mango Juice,Keel Mango
Fruity Punch,Mango Juice,Blue Apple
Fruity Punch,Mango Juice,Yellow Apple
Fruity Punch,Mango Juice,Red Apple
Fruity Punch,Mango Juice,Pink Apple
Fruity Punch,Mango Juice,Primordial Fruit
Fruity Punch,Sky Juice,Peachy Peach
Fruity Punch,Sky Juice,Keel Mango
Fruity Punch,Sky Juice,Blue Apple
Fruity Punch,Sky Juice,Yellow Apple
Fruity Punch,Sky Juice,Red Apple
Fruity Punch,Sky Juice,Pink Apple
Fruity Punch,Sky Juice,Primordial Fruit
Fruity Punch,Mixed Shake,Peachy Peach
Fruity Punch,Mixed Shake,Keel Mango
Fruity Punch,Mixed Shake,Blue Apple
Fruity Punch,Mixed Shake,Yellow Apple
Fruity Punch,Mixed Shake,Red Apple
Fruity Punch,Mixed Shake,Pink Apple
Fruity Punch,Mixed Shake,Primordial Fruit
Fruity Punch,Gradual Syrup,Peachy Peach
Fruity Punch,Gradual Syrup,Keel Mango
Fruity Punch,Gradual Syrup,Blue Apple
Fruity Punch,Gradual Syrup,Yellow Apple
Fruity Punch,Gradual Syrup,Red Apple
Fruity Punch,Gradual Syrup,Pink Apple
Fruity Punch,Dayzee Syrup,Peachy Peach
Fruity Punch,Dayzee Syrup,Keel Mango
Fruity Punch,Dayzee Syrup,Blue Apple
Fruity Punch,Dayzee Syrup,Yellow Apple
Fruity Punch,Dayzee Syrup,Red Apple
Fruity Punch,Dayzee Syrup,Pink Apple
Fruity Punch,Sap Syrup,Peachy Peach
Fruity Punch,Sap Syrup,Keel Mango
Fruity Punch,Sap Syrup,Blue Apple
Fruity Punch,Sap Syrup,Yellow Apple
Fruity Punch,Sap Syrup,Red Apple
Fruity Punch,Sap Syrup,Pink Apple
Fruity Shroom,Peachy Peach,Shroom Shake
Fruity Shroom,Peachy Peach,Volt Shroom
Fruity Shroom,Peachy Peach,Super Shroom Shake
Fruity Shroom,Peachy Peach,Life Shroom
Fruity Shroom,Peachy Peach,Ultra Shroom Shake
Fruity Shroom,Peachy Peach,Slimy Shroom
Fruity Shroom,Keel Mango,Shroom Shake
Fruity Shroom,Keel Mango,Volt Shroom
Fruity Shroom,Keel Mango,Super Shroom Shake
Fruity Shroom,Keel Mango,Life Shroom
Fruity Shroom,Keel Mango,Ultra Shroom Shake
Fruity Shroom,Keel Mango,Slimy Shroom
Fruity Shroom,Blue Apple,Shroom Shake
Fruity Shroom,Blue Apple,Volt Shroom
Fruity Shroom,Blue Apple,Super Shroom Shake
Fruity Shroom,Blue Apple,Life Shroom
Fruity Shroom,Blue Apple,Ultra Shroom Shake
Fruity Shroom,Blue Apple,Slimy Shroom
Fruity Shroom,Yellow Apple,Shroom Shake
Fruity Shroom,Yellow Apple,Volt Shroom
Fruity Shroom,Yellow Apple,Super Shroom Shake
Fruity Shroom,Yellow Apple,Life Shroom
Fruity Shroom,Yellow Apple,Ultra Shroom Shake
Fruity Shroom,Yellow Apple,Slimy Shroom
Fruity Shroom,Red Apple,Shroom Shake
Fruity Shroom,Red Apple,Volt Shroom
Fruity Shroom,Red Apple,Super Shroom Shake
Fruity Shroom,Red Apple,Life Shroom
Fruity Shroom,Red Apple,Ultra Shroom Shake
Fruity Shroom,Red Apple,Slimy Shroom
Fruity Shroom,Pink Apple,Shroom Shake
Fruity Shroom,Pink Apple,Volt Shroom
Fruity Shroom,Pink Apple,Super Shroom Shake
Fruity Shroom,Pink Apple,Life Shroom
Fruity Shroom,Pink Apple,Ultra Shroom Shake
Fruity Shroom,Pink Apple,Slimy Shroom
Fruity Shroom,Fruity Punch,Shroom Shake
Fruity Shroom,Fruity Punch,Super Shroom Shake
Fruity Shroom,Fruity Punch,Life Shroom
Fruity Shroom,Fruity Punch,Ultra Shroom Shake
Fruity Shroom,Fruity Punch,Slimy Shroom
Fruity Shroom,Peach Juice,Shroom Shake
Fruity Shroom,Peach Juice,Super Shroom Shake
Fruity Shroom,Peach Juice,Life Shroom
Fruity Shroom,Peach Juice,Ultra Shroom Shake
Fruity Shroom,Peach Juice,Slimy Shroom
Fruity Shroom,Mango Juice,Shroom Shake
Fruity Shroom,Mango Juice,Super Shroom Shake
Fruity Shroom,Mango Juice,Life Shroom
Fruity Shroom,Mango Juice,Ultra Shroom Shake
Fruity Shroom,Mango Juice,Slimy Shroom
Fruity Shroom,Sky Juice,Shroom Shake
Fruity Shroom,Sky Juice,Super Shroom Shake
Fruity Shroom,Sky Juice,Life Shroom
Fruity Shroom,Sky Juice,Ultra Shroom Shake
Fruity Shroom,Sky Juice,Slimy Shroom
Gingerbread House,Shroom Cake,Mushroom Crepe
Gingerbread House,Chocolate Cake,Honey Super
Gingerbread House,Chocolate Cake,Shroom Cake
Gingerbread House,Mousse,Honey Super
Gingerbread House,Mousse,Shroom Cake
Gingerbread House,Mousse,Chocolate Cake
Gingerbread House,Fruity Cake,Honey Super
Gingerbread House,Fruity Cake,Shroom Cake
Gingerbread House,Fruity Cake,Chocolate Cake
Gingerbread House,Fruity Cake,Mousse
Gingerbread House,Heartful Cake,Honey Super
Gingerbread House,Heartful Cake,Shroom Cake
Gingerbread House,Heartful Cake,Chocolate Cake
Gingerbread House,Heartful Cake,Mousse
Gingerbread House,Heartful Cake,Fruity Cake
Gingerbread House,Peach Tart,Honey Super
Gingerbread House,Peach Tart,Shroom Cake
Gingerbread House,Peach Tart,Chocolate Cake
Gingerbread House,Peach Tart,Mousse
Gingerbread House,Peach Tart,Fruity Cake
Gingerbread House,Peach Tart,Heartful Cake
Gingerbread House,Horsetail Tart,Honey Super
Gingerbread House,Horsetail Tart,Shroom Cake
Gingerbread House,Horsetail Tart,Chocolate Cake
Gingerbread House,Horsetail Tart,Mousse
Gingerbread House,Horsetail Tart,Fruity Cake
Gingerbread House,Horsetail Tart,Heartful Cake
Gingerbread House,Horsetail Tart,Peach Tart
Gold Bar,Golden Leaf,None
Golden Choco-bar,Mild Cocoa Bean,Power Steak
Golden Choco-bar,Mild Cocoa Bean,Bone-In Cut
Golden Choco-bar,Golden Leaf,Mild Cocoa Bean
Golden Choco-bar,Lovely Chocolate,Gold Bar
Golden Choco-bar,Lovely Chocolate,Gold Bar x3
Golden Choco-bar,Lovely Chocolate,Golden Leaf
Golden Choco-bar,Standard Chocolate,Gold Bar
Golden Choco-bar,Standard Chocolate,Gold Bar x3
Golden Choco-bar,Standard Chocolate,Golden Leaf
Golden Choco-bar,Sweet Choco-bar,Gold Bar
Golden Choco-bar,Sweet Choco-bar,Gold Bar x3
Golden Choco-bar,Sweet Choco-bar,Golden Leaf
Golden Choco-bar,Shroom Choco-bar,Gold Bar
Golden Choco-bar,Shroom Choco-bar,Gold Bar x3
Golden Choco-bar,Shroom Choco-bar,Golden Leaf
Golden Meal,Gold Bar,None
Golden Meal,Gold Bar x3,
Golden Meal,Shroom Shake,Gold Bar
Golden Meal,Shroom Shake,Gold Bar x3
Golden Meal,Long-Last Shake,Gold Bar
Golden Meal,Long-Last Shake,Gold Bar x3
Golden Meal,Volt Shroom,Gold Bar
Golden Meal,Volt Shroom,Gold Bar x3
Golden Meal,Super Shroom Shake,Gold Bar
Golden Meal,Super Shroom Shake,Gold Bar x3
Golden Meal,Life Shroom,Gold Bar
Golden Meal,Life Shroom,Gold Bar x3
Golden Meal,Ultra Shroom Shake,Gold Bar
Golden Meal,Ultra Shroom Shake,Gold Bar x3
Golden Meal,Slimy Shroom,Gold Bar
Golden Meal,Slimy Shroom,Gold Bar x3
Golden Meal,Big Egg,Gold Bar
Golden Meal,Big Egg,Gold Bar x3
Golden Meal,Fresh Pasta Bunch,Gold Bar
Golden Meal,Fresh Pasta Bunch,Gold Bar x3
Golden Meal,Power Steak,Gold Bar
Golden Meal,Power Steak,Gold Bar x3
Golden Meal,Bone-In Cut,Gold Bar
Golden Meal,Bone-In Cut,Gold Bar x3
Golden Meal,Golden Leaf,Shroom Shake
Golden Meal,Golden Leaf,Volt Shroom
Golden Meal,Golden Leaf,Super Shroom Shake
Golden Meal,Golden Leaf,Life Shroom
Golden Meal,Golden Leaf,Ultra Shroom Shake
Golden Meal,Golden Leaf,Slimy Shroom
Golden Meal,Golden Leaf,Cake Mix
Golden Meal,Golden Leaf,Big Egg
Golden Meal,Golden Leaf,Fresh Pasta Bunch
Golden Meal,Golden Leaf,Power Steak
Golden Meal,Golden Leaf,Bone-In Cut
Golden Meal,Golden Leaf,Peachy Peach
Golden Meal,Golden Leaf,Keel Mango
Golden Meal,Golden Leaf,Blue Apple
Golden Meal,Golden Leaf,Yellow Apple
Golden Meal,Golden Leaf,Red Apple
Golden Meal,Golden Leaf,Pink Apple
Golden Meal,Golden Leaf,Primordial Fruit
Golden Meal,Golden Leaf,Honey Jar
Golden Meal,Golden Leaf,Hot Sauce
Golden Meal,Golden Leaf,Inky Sauce
Golden Meal,Golden Leaf,Dayzee Tear
Golden Meal,Golden Leaf,Sap Soup
Golden Meal,Golden Leaf,Fresh Veggie
Golden Meal,Golden Leaf,Smelly Herb
Golden Meal,Whacka Bump,Golden Leaf
Golden Meal,Horsetail,Golden Leaf
Golden Meal,Fried Shroom Plate,Golden Leaf
Golden Meal,Roast Shroom Dish,Golden Leaf
Golden Meal,Shroom Steak,Golden Leaf
Golden Meal,Shroom Delicacy,Golden Leaf
Gorgeous Steak,Bone-In Cut,Power Steak
Gorgeous Steak,Hamburger,Power Steak
Gorgeous Steak,Hamburger,Bone-In Cut
Gorgeous Steak,Fruity Hamburger,Power Steak
Gorgeous Steak,Fruity Hamburger,Bone-In Cut
Gorgeous Steak,Spit Roast,Power Steak
Gorgeous Steak,Spit Roast,Bone-In Cut
Gradual Syrup,Peachy Peach,Long-Last Shake
Gradual Syrup,Keel Mango,Long-Last Shake
Gradual Syrup,Blue Apple,Long-Last Shake
Gradual Syrup,Yellow Apple,Long-Last Shake
Gradual Syrup,Red Apple,Long-Last Shake
Gradual Syrup,Pink Apple,Long-Last Shake
Gradual Syrup,Primordial Fruit,Long-Last Shake
Gradual Syrup,Honey Jar,Long-Last Shake
Gradual Syrup,Turtley Leaf,Long-Last Shake
Gradual Syrup,Smelly Herb,Long-Last Shake
Gradual Syrup,Golden Leaf,Long-Last Shake
Gradual Syrup,Fruity Punch,Long-Last Shake
Gradual Syrup,Peach Juice,Long-Last Shake
Gradual Syrup,Mango Juice,Long-Last Shake
Gradual Syrup,Sky Juice,Long-Last Shake
Gradual Syrup,Mixed Shake,Long-Last Shake
Gradual Syrup,Warm Cocoa,Long-Last Shake
Gradual Syrup,Herb Tea,Long-Last Shake
Gradual Syrup,Koopa Tea,Long-Last Shake
Gradual Syrup,Stamina Juice,Long-Last Shake
Gradual Syrup,Dayzee Syrup,Shroom Shake
Gradual Syrup,Dayzee Syrup,Super Shroom Shake
Gradual Syrup,Dayzee Syrup,Life Shroom
Gradual Syrup,Dayzee Syrup,Ultra Shroom Shake
Gradual Syrup,Dayzee Syrup,Slimy Shroom
Gradual Syrup,Sap Syrup,Shroom Shake
Gradual Syrup,Sap Syrup,Super Shroom Shake
Gradual Syrup,Sap Syrup,Life Shroom
Gradual Syrup,Sap Syrup,Ultra Shroom Shake
Gradual Syrup,Sap Syrup,Slimy Shroom
Hamburger,Power Steak,
Hamburger,Power Steak,Shroom Shake
Hamburger,Power Steak,Long-Last Shake
Hamburger,Power Steak,Volt Shroom
Hamburger,Power Steak,Super Shroom Shake
Hamburger,Power Steak,Life Shroom
Hamburger,Power Steak,Ultra Shroom Shake
Hamburger,Power Steak,Slimy Shroom
Hamburger,Honey Jar,Power Steak
Hamburger,Inky Sauce,Power Steak
Hamburger,Dayzee Tear,Power Steak
Hamburger,Sap Soup,Power Steak
Hamburger,Whacka Bump,Power Steak
Hamburger,Hot Dog,Power Steak
Hamburger,Hot Dog,Bone-In Cut
Healthy Salad,Fresh Veggie,None
Healthy Salad,Fresh Veggie,Shroom Shake
Healthy Salad,Fresh Veggie,Long-Last Shake
Healthy Salad,Fresh Veggie,Volt Shroom
Healthy Salad,Fresh Veggie,Super Shroom Shake
Healthy Salad,Fresh Veggie,Life Shroom
Healthy Salad,Fresh Veggie,Ultra Shroom Shake
Healthy Salad,Fresh Veggie,Slimy Shroom
Healthy Salad,Fresh Veggie,Peachy Peach
Healthy Salad,Fresh Veggie,Keel Mango
Healthy Salad,Fresh Veggie,Blue Apple
Healthy Salad,Fresh Veggie,Yellow Apple
Healthy Salad,Fresh Veggie,Red Apple
Healthy Salad,Fresh Veggie,Pink Apple
Healthy Salad,Fresh Veggie,Mild Cocoa Bean
Healthy Salad,Fresh Veggie,Honey Jar
Healthy Salad,Fresh Veggie,Dayzee Tear
Healthy Salad,Smelly Herb,Fresh Veggie
Healthy Salad,Whacka Bump,Fresh Veggie
Healthy Salad,Horsetail,Fresh Veggie
Heartful Cake,Lovely Chocolate,Cake Mix
Heartful Cake,Mushroom Crepe,Lovely Chocolate
Heartful Cake,Shroom Cake,Lovely Chocolate
Heartful Cake,Chocolate Cake,Lovely Chocolate
Heartful Cake,Mousse,Lovely Chocolate
Heartful Cake,Fruity Cake,Lovely Chocolate
Heartful Cake,Peach Tart,Lovely Chocolate
Heartful Cake,Horsetail Tart,Lovely Chocolate
Heartful Cake,Couple's Cake,Cake Mix
Heartful Cake,Slimy Extract,Cake Mix
Heartful Cake,Slimy Extract,Shroom Cake
Heartful Cake,Slimy Extract,Chocolate Cake
Heartful Cake,Slimy Extract,Mousse
Heartful Cake,Slimy Extract,Fruity Cake
Heartful Cake,Slimy Extract,Peach Tart
Heartful Cake,Slimy Extract,Horsetail Tart
Heavy Meal,Volt Shroom,Thunder Rage
Heavy Meal,Honey Shroom,Honey Jar
Heavy Meal,Honey Super,Honey Jar
Heavy Meal,Honey Candy,Honey Jar
Heavy Meal,Electro Pop,Thunder Rage
Heavy Meal,Electro Pop,Volt Shroom
Heavy Meal,Koopa Dumpling,Turtley Leaf
Heavy Meal,Sap Muffin,Sap Soup
Heavy Meal,Horsetail Tart,Horsetail
Heavy Meal,Mango Pudding,Keel Mango
Heavy Meal,Herb Tea,Smelly Herb
Heavy Meal,Koopa Tea,Turtley Leaf
Heavy Meal,Dayzee Syrup,Dayzee Tear
Heavy Meal,Sap Syrup,Sap Soup
Heavy Meal,Gorgeous Steak,Power Steak
Heavy Meal,Gorgeous Steak,Bone-In Cut
Heavy Meal,Ink Pasta Dish,Inky Sauce
Heavy Meal,Koopasta Dish,Turtley Leaf
Heavy Meal,Choco Pasta Dish,Mild Cocoa Bean
Heavy Meal,Inky Soup,Inky Sauce
Heavy Meal,Primordial Dinner,Primordial Fruit
Heavy Meal,Koopa Pilaf,Turtley Leaf
Heavy Meal,Meteor Meal,Shooting Star
Heavy Meal,Megaton Dinner,POW Block
Herb Tea,Smelly Herb,None
Herb Tea,Smelly Herb,Peachy Peach
Herb Tea,Smelly Herb,Keel Mango
Herb Tea,Smelly Herb,Blue Apple
Herb Tea,Smelly Herb,Yellow Apple
Herb Tea,Smelly Herb,Red Apple
Herb Tea,Smelly Herb,Pink Apple
Herb Tea,Smelly Herb,Honey Jar
Herb Tea,Smelly Herb,Dayzee Tear
Herb Tea,Smelly Herb,Sap Soup
Herb Tea,Warm Cocoa,Smelly Herb
Herb Tea,Koopa Tea,Smelly Herb
Honey Candy,Honey Jar,None
Honey Candy,Honey Jar,Peachy Peach
Honey Candy,Honey Jar,Keel Mango
Honey Candy,Honey Jar,Blue Apple
Honey Candy,Honey Jar,Yellow Apple
Honey Candy,Honey Jar,Red Apple
Honey Candy,Honey Jar,Pink Apple
Honey Candy,Peach Juice,Honey Jar
Honey Candy,Mango Juice,Honey Jar
Honey Candy,Sky Juice,Honey Jar
Honey Candy,Mixed Shake,Honey Jar
Honey Candy,Stamina Juice,Honey Jar
Honey Candy,Gradual Syrup,Honey Jar
Honey Candy,Dayzee Syrup,Honey Jar
Honey Candy,Sap Syrup,Honey Jar
Honey Shroom,Honey Jar,Shroom Shake
Honey Shroom,Honey Jar,Volt Shroom
Honey Shroom,Shroom Broth,Honey Jar
Honey Shroom,Honey Candy,Shroom Shake
Honey Shroom,Honey Candy,Long-Last Shake
Honey Shroom,Honey Candy,Slimy Shroom
Honey Shroom,Fruity Shroom,Honey Jar
Honey Shroom,Volcano Shroom,Honey Jar
Honey Super,Honey Jar,Super Shroom Shake
Honey Super,Honey Jar,Life Shroom
Honey Super,Honey Jar,Ultra Shroom Shake
Honey Super,Honey Jar,Slimy Shroom
Honey Super,Honey Candy,Super Shroom Shake
Honey Super,Honey Candy,Life Shroom
Honey Super,Honey Candy,Ultra Shroom Shake
Horsetail Tart,Horsetail,Cake Mix
Horsetail Tart,Horsetail,Peachy Peach
Horsetail Tart,Horsetail,Keel Mango
Horsetail Tart,Horsetail,Blue Apple
Horsetail Tart,Horsetail,Yellow Apple
Horsetail Tart,Horsetail,Red Apple
Horsetail Tart,Horsetail,Pink Apple
Horsetail Tart,Horsetail,Mild Cocoa Bean
Horsetail Tart,Horsetail,Honey Jar
Horsetail Tart,Horsetail,Smelly Herb
Horsetail Tart,Horsetail,Whacka Bump
Horsetail Tart,Sweet Cookie Snack,Horsetail
Horsetail Tart,Koopa Dumpling,Horsetail
Horsetail Tart,Mushroom Crepe,Horsetail
Horsetail Tart,Shroom Cake,Horsetail
Horsetail Tart,Chocolate Cake,Horsetail
Horsetail Tart,Mousse,Horsetail
Horsetail Tart,Fruity Cake,Horsetail
Horsetail Tart,Heartful Cake,Horsetail
Horsetail Tart,Peach Tart,Horsetail
Hot Dog,Power Steak,Cake Mix
Hot Dog,Power Steak,Big Egg
Hot Dog,Bone-In Cut,Cake Mix
Hot Dog,Bone-In Cut,Big Egg
Hot Dog,Fresh Veggie,Power Steak
Hot Dog,Fresh Veggie,Bone-In Cut
Hot Dog,Smelly Herb,Power Steak
Hot Dog,Horsetail,Power Steak
Hot Dog,Horsetail,Bone-In Cut
Hot Dog,Hamburger,Big Egg
Hot Dog,Fruity Hamburger,Big Egg
Hot Dog,Gorgeous Steak,Big Egg
Hot Dog,Spit Roast,Big Egg
Ink Pasta Dish,Inky Sauce,Fresh Pasta Bunch
Ink Pasta Dish,Spaghetti Plate,Inky Sauce
Ink Pasta Dish,Meat Pasta Dish,Inky Sauce
Ink Pasta Dish,Spicy Pasta Dish,Inky Sauce
Ink Pasta Dish,Koopasta Dish,Inky Sauce
Ink Pasta Dish,Choco Pasta Dish,Inky Sauce
Ink Pasta Dish,Love Noodle Dish,Inky Sauce
Ink Pasta Dish,Inky Soup,Fresh Pasta Bunch
Ink Pasta Dish,Inky Soup,Spaghetti Plate
Ink Pasta Dish,Inky Soup,Meat Pasta Dish
Ink Pasta Dish,Inky Soup,Spicy Pasta Dish
Ink Pasta Dish,Inky Soup,Koopasta Dish
Ink Pasta Dish,Inky Soup,Choco Pasta Dish
Ink Pasta Dish,Inky Soup,Love Noodle Dish
Inky Soup,Inky Sauce,None
Inky Soup,Inky Sauce,Shroom Shake
Inky Soup,Inky Sauce,Long-Last Shake
Inky Soup,Inky Sauce,Volt Shroom
Inky Soup,Inky Sauce,Super Shroom Shake
Inky Soup,Inky Sauce,Life Shroom
Inky Soup,Inky Sauce,Ultra Shroom Shake
Inky Soup,Inky Sauce,Slimy Shroom
Inky Soup,Inky Sauce,Hot Sauce
Inky Soup,Sap Soup,Inky Sauce
Inky Soup,Fresh Veggie,Inky Sauce
Inky Soup,Turtley Leaf,Inky Sauce
Inky Soup,Horsetail,Inky Sauce
Koopa Dumpling,Turtley Leaf,Shroom Shake
Koopa Dumpling,Turtley Leaf,Volt Shroom
Koopa Dumpling,Turtley Leaf,Super Shroom Shake
Koopa Dumpling,Turtley Leaf,Life Shroom
Koopa Dumpling,Turtley Leaf,Ultra Shroom Shake
Koopa Dumpling,Turtley Leaf,Slimy Shroom
Koopa Dumpling,Turtley Leaf,Cake Mix
Koopa Dumpling,Whacka Bump,Turtley Leaf
Koopa Dumpling,Town Special,Turtley Leaf
Koopa Dumpling,Sap Muffin,Turtley Leaf
Koopa Pilaf,Turtley Leaf,Power Steak
Koopa Pilaf,Turtley Leaf,Bone-In Cut
Koopa Pilaf,Turtley Leaf,Hot Sauce
Koopa Pilaf,Turtley Leaf,Fresh Veggie
Koopa Pilaf,Horsetail,Turtley Leaf
Koopa Tea,Turtley Leaf,None
Koopa Tea,Turtley Leaf,Peachy Peach
Koopa Tea,Turtley Leaf,Keel Mango
Koopa Tea,Turtley Leaf,Blue Apple
Koopa Tea,Turtley Leaf,Yellow Apple
Koopa Tea,Turtley Leaf,Red Apple
Koopa Tea,Turtley Leaf,Pink Apple
Koopa Tea,Turtley Leaf,Honey Jar
Koopa Tea,Turtley Leaf,Dayzee Tear
Koopa Tea,Turtley Leaf,Sap Soup
Koopa Tea,Smelly Herb,Turtley Leaf
Koopa Tea,Golden Leaf,Turtley Leaf
Koopa Tea,Warm Cocoa,Turtley Leaf
Koopa Tea,Herb Tea,Turtley Leaf
Koopasta Dish,Turtley Leaf,Fresh Pasta Bunch
Koopasta Dish,Koopa Dumpling,Fresh Pasta Bunch
Koopasta Dish,Koopa Tea,Fresh Pasta Bunch
Koopasta Dish,Spaghetti Plate,Turtley Leaf
Koopasta Dish,Spaghetti Plate,Koopa Dumpling
Koopasta Dish,Spaghetti Plate,Koopa Tea
Koopasta Dish,Meat Pasta Dish,Turtley Leaf
Koopasta Dish,Meat Pasta Dish,Koopa Dumpling
